OUT,MID1,MID2,MID3,MID4,MID5,MID6,MID7,MID8,MID9,kingdom,phylum,classes,phylogeny
90,0,0,0,0,4,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Okibacterium"
91,0,0,6,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Phycicola"
92,0,0,0,1,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Pseudoclavibacter"
93,1,0,0,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Schumannella"
94,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Yonghaparkia"
95,1,0,2,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Acaricomes"
96,0,0,0,0,11,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Arthrobacter"
97,98,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Kocuria"
98,17,0,1,0,17,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Renibacterium"
99,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcineae_incertae_sedis Ruania"
100,0,0,0,0,23,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Asanoa"
101,63,0,75,0,284,1,71,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Catelliglobosispora"
102,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Dactylosporangium"
103,0,0,1,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Hamadaea"
104,1,0,3,0,4,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Krasilnikovia"
105,9,0,2,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Longispora"
106,1,0,0,0,5,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Planosporangium"
107,0,0,0,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Polymorphospora"
108,1,0,0,0,6,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Pseudosporangium"
109,0,0,1,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Verrucosispora"
110,0,0,0,0,31,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Virgisporangium"
111,0,0,0,0,0,0,6,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Mycobacteriaceae Mycobacterium"
112,25,0,0,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Humicoccus"
113,0,0,1,0,4,0,3,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Nakamurella"
114,6,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Saxeibacter"
115,0,0,0,0,0,0,169,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Gordonia"
116,0,0,2,0,0,0,40,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Millisia"
117,0,0,1,0,2,0,7,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Skermania"
118,0,0,12,1,10,0,8,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Smaragdicoccus"
119,0,0,0,0,0,0,0,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardioidaceae Nocardioides"
120,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiopsaceae Haloactinospora"
121,3,0,21,0,93,1,8,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Myceligenerans"
122,2,0,2,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanibacterium"
123,1,0,1,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanimicrobium"
124,0,0,9,0,28,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanimonas"
125,62,2,105,1,270,0,64,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Aestuariimicrobium"
126,2,1,6,0,11,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Brooklawnia"
127,0,0,1,0,3,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Granulicoccus"
128,1161,31,1563,29,4195,1,1367,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionibacterium"
129,0,0,1,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionicicella"
130,0,0,3,0,4,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propioniferax"
131,3,1,8,1,34,0,10,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionimicrobium"
132,2,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Allokutzneria"
133,0,0,1,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Goodfellowiella"
134,88,0,0,0,1,0,1,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Sciscionella"
135,0,1,1,0,1,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Thermobispora"
136,0,1,5,1,11,0,3,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Streptosporangiaceae Thermopolyspora"
137,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Thermomonosporaceae Thermomonospora"
138,0,0,0,0,3,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Aeriscardovia"
139,1,0,10,0,22,1,13,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Alloscardovia"
140,0,0,0,0,5,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Bifidobacterium"
141,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Gardnerella"
142,1,0,1,0,2,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Metascardovia"
143,0,0,0,0,2,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Parascardovia"
144,0,0,3,0,0,0,0,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Scardovia"
145,1,9,2,0,8,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Adlercreutzia"
